ประเภทโคมไฟ,ทิศทางที่ตั้ง (LT/RT/MD),สถานะ,ชนิดของหลอดไฟ,ตู้คอนโทรล,วันที่ก่อสร้าง,สัญญาที่,สายทาง,ตอนควบคุม,กม.,วันที่ซ่อมครั้งล่าสุด,สาเหตุการเสียหาย,วิธีการซ่อม,หมายเหตุ,Lat,Long
SG,RT1,,,,,,2028,102,18+930,,,,,17.4494,104.4514
SG,RT2,,,,,,2028,102,18+990,,,,,17.4495,104.4520
SG,RT3,,,,,,2028,102,19+050,,,,,17.4496,104.4525
SG,RT4,,,,,,2028,102,19+120,,,,,17.4498,104.4532
SG,RT5,,,,,,2028,102,19+180,,,,,17.4499,104.4536
SG,RT6,,,,,,2028,102,19+240,,,,,17.4499,104.4540
SG,RT7,,,,,,2028,102,19+240,,,,,17.4500,104.4542
SG,RT8,,,,,,2028,102,19+300,,,,,17.4501,104.4546
SG,RT9,,,,,,2028,102,20+430,,,,,17.4526,104.4629
SG,RT10,,,,,,2028,102,20+460,,,,,17.4527,104.4632
SG,RT11,,,,,,2028,102,20+490,,,,,17.4529,104.4635
SG,RT12,,,,,,2028,102,20+520,,,,,17.4531,104.4638
SG,RT13,,,,,,2028,102,20+850,,,,,17.4545,104.4673
SG,RT14,,,,,,2028,102,20+900,,,,,17.4547,104.4679
SG,RT15,,,,,,2028,102,20+950,,,,,17.4550,104.4684
SG,RT16,,,,,,2028,102,21+000,,,,,17.4552,104.4690
SG,RT17,,,,,,2028,102,21+050,,,,,17.4554,104.4695
SG,RT18,,,,,,2028,102,21+100,,,,,17.4556,104.4701
SG,RT19,,,,,,2028,102,21+150,,,,,17.4558,104.4706
SG,RT20,,,,,,2028,102,24+750,,,,,17.4783,104.4948
SG,RT21,,,,,,2028,102,24+790,,,,,17.4785,104.4952
SG,RT22,,,,,,2028,102,24+830,,,,,17.4787,104.4955
SG,RT23,,,,,,2028,102,24+870,,,,,17.4789,104.4959
SG,RT24,,,,,,2028,102,24+810,,,,,17.4791,104.4963
SG,RT25,,,,,,2028,102,24+850,,,,,17.4793,104.4966
SG,RT26,,,,,,2028,102,24+890,,,,,17.4794,104.4969
SG,RT27,,,,,,2028,102,24+830,,,,,17.4796,104.4974
SG,RT28,,,,,,2028,102,35+860,,,,,17.5302,104.5796
SG,RT29,,,,,,2028,102,35+890,,,,,17.5303,104.5799
SG,RT30,,,,,,2028,102,35+920,,,,,17.5304,104.5801
SG,RT31,,,,,,2028,102,35+950,,,,,17.5304,104.5804
SG,RT32,,,,,,2028,102,35+980,,,,,17.5304,104.5807
SG,RT33,,,,,,2028,102,36+010,,,,,17.5304,104.5810
SG,RT34,,,,,,2028,102,36+070,,,,,17.5304,104.5816
SG,RT35,,,,,,2028,102,36+100,,,,,17.5304,104.5819
SG,RT36,,,,,,2028,102,36+130,,,,,17.5304,104.5822
SG,RT37,,,,,,2028,102,36+160,,,,,17.5305,104.5825
SG,RT38,,,,,,2028,102,36+190,,,,,17.5305,104.5827
SG,RT39,,,,,,2028,102,36+210,,,,,17.5305,104.5830
SG,RT40,,,,,,2028,102,36+240,,,,,17.5305,104.5833
SG,RT41,,,,,,2028,102,40+435,,,,,17.5522,104.6126
SG,RT42,,,,,,2028,102,40+485,,,,,17.5525,104.6130
SG,LT1,,,,,,2028,102,14+960,,,,,17.4328,104.4187
SG,LT2,,,,,,2028,102,15+000,,,,,17.4330,104.4190
SG,LT3,,,,,,2028,102,15+040,,,,,17.4331,104.4192
SG,LT4,,,,,,2028,102,15+080,,,,,17.4333,104.4194
SG,LT5,,,,,,2028,102,15+120,,,,,17.4335,104.4197
SG,LT6,,,,,,2028,102,15+160,,,,,17.4337,104.4200
SG,LT7,,,,,,2028,102,15+200,,,,,17.4340,104.4203
SG,LT8,,,,,,2028,102,15+240,,,,,17.4343,104.4207
SG,LT9,,,,,,2028,102,15+280,,,,,17.4345,104.4210
SG,LT10,,,,,,2028,102,15+320,,,,,17.4347,104.4213
SG,LT11,,,,,,2028,102,15+360,,,,,17.4350,104.4218
SG,LT12,,,,,,2028,102,15+400,,,,,17.4351,104.4220
SG,LT13,,,,,,2028,102,15+440,,,,,17.4354,104.4224
SG,LT14,,,,,,2028,102,15+480,,,,,17.4355,104.4227
SG,LT15,,,,,,2028,102,15+520,,,,,17.4357,104.4231
SG,LT16,,,,,,2028,102,15+560,,,,,17.4360,104.4235
SG,LT17,,,,,,2028,102,15+600,,,,,17.4362,104.4240
SG,LT18,,,,,,2028,102,16+250,,,,,17.4389,104.4289
SG,LT19,,,,,,2028,102,16+290,,,,,17.4391,104.4293
SG,LT20,,,,,,2028,102,16+330,,,,,17.4393,104.4296
SG,LT21,,,,,,2028,102,16+370,,,,,17.4396,104.4300
SG,LT22,,,,,,2028,102,16+410,,,,,17.4398,104.4304
SG,LT23,,,,,,2028,102,18+900,,,,,17.4495,104.4511
SG,LT24,,,,,,2028,102,18+960,,,,,17.4496,104.4517
SG,LT25,,,,,,2028,102,19+020,,,,,17.4497,104.4523
SG,LT26,,,,,,2028,102,19+090,,,,,17.4499,104.4529
SG,LT27,,,,,,2028,102,19+150,,,,,17.4500,104.4534
SG,LT28,,,,,,2028,102,19+210,,,,,17.4501,104.4538
SG,LT29,,,,,,2028,102,19+270,,,,,17.4502,104.4541
SG,LT30,,,,,,2028,102,19+300,,,,,17.4502,104.4545
SG,LT31,,,,,,2028,102,20+430,,,,,17.4527,104.4628
SG,LT32,,,,,,2028,102,20+460,,,,,17.4529,104.4631
SG,LT33,,,,,,2028,102,20+490,,,,,17.4530,104.4635
SG,LT34,,,,,,2028,102,20+520,,,,,17.4532,104.4638
SG,LT35,,,,,,2028,102,20+550,,,,,17.4533,104.4641
SG,LT36,,,,,,2028,102,20+580,,,,,17.4534,104.4645
SG,LT37,,,,,,2028,102,20+610,,,,,17.4535,104.4648
SG,LT38,,,,,,2028,102,20+640,,,,,17.4537,104.4651
SG,LT39,,,,,,2028,102,20+670,,,,,17.4539,104.4655
SG,LT40,,,,,,2028,102,20+700,,,,,17.4540,104.4657
SG,LT41,,,,,,2028,102,20+730,,,,,17.4541,104.4660
SG,LT42,,,,,,2028,102,20+760,,,,,17.4542,104.4662
SG,LT43,,,,,,2028,102,20+790,,,,,17.4543,104.4667
SG,LT44,,,,,,2028,102,20+820,,,,,17.4545,104.4670
SG,LT45,,,,,,2028,102,20+875,,,,,17.4547,104.4675
SG,LT46,,,,,,2028,102,20+925,,,,,17.4549,104.4681
SG,LT47,,,,,,2028,102,20+975,,,,,17.4552,104.4687
SG,LT48,,,,,,2028,102,21+025,,,,,17.4554,104.4692
SG,LT49,,,,,,2028,102,21+075,,,,,17.4556,104.4697
SG,LT50,,,,,,2028,102,21+125,,,,,17.4558,104.4703
SG,LT51,,,,,,2028,102,30+400,,,,,17.5027,104.5393
