ประเภทโคมไฟ,ทิศทางที่ตั้ง (LT/RT/MD),สถานะ,ชนิดของหลอดไฟ,ตู้คอนโทรล,วันที่ก่อสร้าง,สัญญาที่,สายทาง,ตอนควบคุม,กม.,วันที่ซ่อมครั้งล่าสุด,สาเหตุการเสียหาย,วิธีการซ่อม,หมายเหตุ,Lat,Long
sg,md/rt1,,,,,,212,0301,269+245,,,,, 17.6440,104.4567
sg,md/rt2,,,,,,212,0301,269+280,,,,, 17.6440,104.4571
sg,md/rt3,,,,,,212,0301,269+665,,,,, 17.6441,104.4608
sg,md/rt4,,,,,,212,0301,269+700,,,,, 17.6440,104.4612
sg,md/rt5,,,,,,212,0301,269+735,,,,, 17.6440,104.4615
sg,md/rt6,,,,,,212,0301,269+770,,,,, 17.6440,104.4619
sg,md/rt7,,,,,,212,0301,269+805,,,,, 17.6440,104.4622
sg,md/rt8,,,,,,212,0301,269+840,,,,, 17.6440,104.4626
sg,md/rt9,,,,,,212,0301,270+785,,,,, 17.6408,104.4707
sg,md/rt10,,,,,,212,0301,270+820,,,,, 17.6406,104.4709
sg,md/rt11,,,,,,212,0301,275+053,,,,, 17.6216,104.5050
sg,md/rt12,,,,,,212,0301,275+088,,,,, 17.6214,104.5053
sg,md/rt13,,,,,,212,0301,287+070,,,,, 17.5624,104.6090
sg,md/rt14,,,,,,212,0301,287+105,,,,, 17.5621,104.6090
sg,md/rt15,,,,,,212,0301,303+158,,,,, 17.4808,104.7241
sg,md/rt16,,,,,,212,0301,303+191,,,,, 17.4806,104.7242
sg,md/rt17,,,,,,212,0301,303+229,,,,, 17.4802,104.7244
sg,md/rt18,,,,,,212,0301,303+264,,,,, 17.4800,104.7245
sg,md/rt19,,,,,,212,0301,304+335,,,,, 17.4724,104.7295
sg,md/rt20,,,,,,212,0301,304+410,,,,, 17.4722,104.7302
sg,md/rt21,,,,,,212,0301,304+706,,,,, 17.4705,104.7324
sg,md/rt22,,,,,,212,0301,304+754,,,,, 17.4701,104.7327
sg,md/rt23,,,,,,212,0301,304+899,,,,, 17.4691,104.7334
sg,md/rt24,,,,,,212,0301,304+990,,,,, 17.4684,104.7339
sg,md/rt25,,,,,,212,0301,305+047,,,,, 17.4680,104.7342
sg,md/rt26,,,,,,212,0301,305+122,,,,, 17.4674,104.7346
sg,md/rt27,,,,,,212,0301,305+615,,,,, 17.4637,104.7372
sg,md/rt28,,,,,,212,0301,305+677,,,,, 17.4632,104.7375
sg,md/rt29,,,,,,212,0301,305+737,,,,, 17.4628,104.7378
sg,md/rt30,,,,,,212,0301,305+800,,,,, 17.4623,104.7382
sg,md/rt31,,,,,,212,0301,305+860,,,,, 17.4618,104.7385
sg,md/rt32,,,,,,212,0301,305+924,,,,, 17.4614,104.7388
sg,md/rt33,,,,,,212,0301,306+914,,,,, 17.4542,104.7428
sg,md/rt34,,,,,,212,0301,306+980,,,,, 17.4537,104.7431
sg,md/rt35,,,,,,212,0301,307+038,,,,, 17.4532,104.7433
sg,md/rt36,,,,,,212,0301,307+098,,,,, 17.4527,104.7436
sg,md/rt37,,,,,,212,0301,307+178,,,,, 17.4522,104.7438
sg,md/rt38,,,,,,212,0301,307+259,,,,, 17.4516,104.7441
