ประเภทโคมไฟ,ทิศทางที่ตั้ง (LT/RT/MD),สถานะ,ชนิดของหลอดไฟ,ตู้คอนโทรล,วันที่ก่อสร้าง,สัญญาที่,สายทาง,ตอนควบคุม,กม.,วันที่ซ่อมครั้งล่าสุด,สาเหตุการเสียหาย,วิธีการซ่อม,หมายเหตุ,Lat,Long
SG,LT1,,,,,,0295,0100,0+050,,,,, 17.4801,104.7239
SG,LT2,,,,,,0295,0100,0+080,,,,, 17.4800,104.7236
SG,LT3,,,,,,0295,0100,0+120,,,,, 17.4799,104.7233
SG,LT4,,,,,,0295,0100,0+150,,,,, 17.4798,104.7230
SG,LT5,,,,,,0295,0100,0+180,,,,, 17.4797,104.7227
SG,LT6,,,,,,0295,0100,0+210,,,,, 17.4796,104.7224
SG,LT7,,,,,,0295,0100,0+240,,,,, 17.4795,104.7221
SG,LT8,,,,,,0295,0100,0+270,,,,, 17.4794,104.7218
SG,LT9,,,,,,0295,0100,0+300,,,,, 17.4793,104.7215
SG,LT10,,,,,,0295,0100,0+330,,,,, 17.4791,104.7212
SG,LT11,,,,,,0295,0100,0+360,,,,, 17.4791,104.7210
SG,LT12,,,,,,0295,0100,0+390,,,,, 17.4790,104.7209
SG,LT13,,,,,,0295,0100,0+420,,,,, 17.4790,104.7207
SG,LT14,,,,,,0295,0100,0+450,,,,, 17.4789,104.7206
SG,LT15,,,,,,0295,0100,0+480,,,,, 17.4788,104.7204
SG,LT16,,,,,,0295,0100,0+510,,,,, 17.4788,104.7203
SG,LT17,,,,,,0295,0100,0+540,,,,, 17.4787,104.7200
SG,LT18,,,,,,0295,0100,0+580,,,,, 17.4785,104.7196
SG,LT19,,,,,,0295,0100,0+610,,,,, 17.4784,104.7193
SG,LT20,,,,,,0295,0100,0+640,,,,, 17.4783,104.7190
SG,LT21,,,,,,0295,0100,0+790,,,,, 17.4778,104.7178
SG,LT22,,,,,,0295,0100,0+830,,,,, 17.4777,104.7175
SG,LT23,,,,,,0295,0100,0+860,,,,, 17.4776,104.7172
SG,LT24,,,,,,0295,0100,0+890,,,,, 17.4775,104.7169
SG,LT25,,,,,,0295,0100,0+920,,,,, 17.4774,104.7166
SG,LT26,,,,,,0295,0100,0+950,,,,, 17.4773,104.7163
SG,LT27,,,,,,0295,0100,0+980,,,,, 17.4771,104.7159
SG,LT28,,,,,,0295,0100,1+010,,,,, 17.4770,104.7157
SG,LT29,,,,,,0295,0100,1+040,,,,, 17.4770,104.7154
SG,LT30,,,,,,0295,0100,1+070,,,,, 17.4770,104.7151
SG,LT31,,,,,,0295,0100,1+100,,,,, 17.4771,104.7148
SG,LT32,,,,,,0295,0100,1+130,,,,, 17.4773,104.7145
SG,LT33,,,,,,0295,0100,1+160,,,,, 17.4775,104.7143
SG,LT34,,,,,,0295,0100,1+190,,,,, 17.4777,104.7141
SG,LT35,,,,,,0295,0100,1+220,,,,, 17.4778,104.7140
SG,LT36,,,,,,0295,0100,1+250,,,,, 17.4781,104.7140
SG,LT37,,,,,,0295,0100,1+280,,,,, 17.4783,104.7140
SG,LT38,,,,,,0295,0100,1+310,,,,, 17.4787,104.7141
SG,LT39,,,,,,0295,0100,1+340,,,,, 17.4790,104.7142
SG,LT40,,,,,,0295,0100,1+390,,,,, 17.4792,104.7144
SG,LT41,,,,,,0295,0100,1+420,,,,, 17.4794,104.7147
SG,RT1,,,,,,0295,0100,0+050,,,,, 17.4804,104.7238
SG,RT2,,,,,,0295,0100,0+080,,,,, 17.4803,104.7235
SG,RT3,,,,,,0295,0100,0+120,,,,, 17.4801,104.7232
SG,RT4,,,,,,0295,0100,0+150,,,,, 17.4800,104.7229
SG,RT5,,,,,,0295,0100,0+080,,,,, 17.4799,104.7226
SG,RT6,,,,,,0295,0100,0+210,,,,, 17.4798,104.7223
SG,RT7,,,,,,0295,0100,0+240,,,,, 17.4797,104.7220
SG,RT8,,,,,,0295,0100,0+270,,,,, 17.4796,104.7217
SG,RT9,,,,,,0295,0100,0+300,,,,, 17.4795,104.7214
SG,RT10,,,,,,0295,0100,0+330,,,,, 17.4794,104.7211
SG,RT11,,,,,,0295,0100,0+360,,,,, 17.4793,104.7209
SG,RT12,,,,,,0295,0100,0+390,,,,, 17.4793,104.7208
SG,RT13,,,,,,0295,0100,0+450,,,,, 17.4792,104.7205
SG,RT14,,,,,,0295,0100,0+510,,,,, 17.4790,104.7201
SG,RT15,,,,,,0295,0100,0+540,,,,, 17.4789,104.7199
SG,RT16,,,,,,0295,0100,0+580,,,,, 17.4788,104.7196
SG,RT17,,,,,,0295,0100,0+610,,,,, 17.4787,104.7192
SG,RT18,,,,,,0295,0100,0+640,,,,, 17.4786,104.7189
SG,RT19,,,,,,0295,0100,0+670,,,,, 17.4785,104.7187
SG,RT20,,,,,,0295,0100,0+700,,,,, 17.4784,104.7184
SG,RT21,,,,,,0295,0100,0+730,,,,, 17.4783,104.7182
SG,RT22,,,,,,0295,0100,0+760,,,,, 17.4782,104.7178
SG,RT23,,,,,,0295,0100,0+790,,,,, 17.4781,104.7175
SG,RT24,,,,,,0295,0100,0+980,,,,, 17.4776,104.7162
SG,RT25,,,,,,0295,0100,1+010,,,,, 17.4775,104.7159
SG,RT26,,,,,,0295,0100,1+040,,,,, 17.4774,104.7156
SG,RT27,,,,,,0295,0100,1+070,,,,, 17.4774,104.7155
SG,RT28,,,,,,0295,0100,1+100,,,,, 17.4773,104.7152
SG,RT29,,,,,,0295,0100,1+150,,,,, 17.4775,104.7146
SG,RT30,,,,,,0295,0100,1+180,,,,, 17.4777,104.7145
SG,RT31,,,,,,0295,0100,1+210,,,,, 17.4779,104.7143
SG,RT32,,,,,,0295,0100,1+240,,,,, 17.4780,104.7143
SG,RT33,,,,,,0295,0100,1+270,,,,, 17.4782,104.7143
SG,RT34,,,,,,0295,0100,1+300,,,,, 17.4784,104.7143
SG,RT35,,,,,,0295,0100,1+350,,,,, 17.4787,104.7144
SG,RT36,,,,,,0295,0100,1+380,,,,, 17.4790,104.7146
